Item Group,Description,categories
00-1,CEMENT,0
00-3,STEEL BAR,0
01-0,YMC,0
01-1,DQ,0
01-2,YRC,0
01-3,YKWI BAR CUT & BEND,0
01-4,"GI & PVC, HARD DRAWN WIRE",0
01-5,"GI GRILL, WIRE MESH",0
01-6,CL FENCE & BARBED WIRE,0
01-7,"VERSATILE FENCE, FITTING",0
01-8,YKWI PRODUCT SPECIAL ORDER,0
02-0,"GI, PPGI, PLAIN SHEET",0
02-1,"ROOFING-CORRUGATED, TRANSPARENT & RIDGES",0
02-2,YUNCO PRODUCT SPECIAL ORDER,0
02-3,ASTEEL ROOFING PRODUCT,0
02-4,"CAPPING, FLASHING, GUTTER",0
02-5,"TRUSS, PURLIN, U-PARTITION",0
02-6,ROOFING PRODUCTION,0
02-7,PURLIN PRODUCTION,0
02-8,DOOR FRAME,0
02-9,ROOFING ACCESSORIES,0
03-1,HEXAGONAL WIRE NETTING,0
03-5,"NETTING & MESH - MOSQUITO, G.I COATED",0
03-8,GABION,0
04-1,ANGLE IRON BAR,0
04-2,"M.S FLAT, SQUARE BAR, IRON GATE",0
04-3,HOLLOW SECTION,0
04-4,I-BEAM,0
04-5,U-CHANNEL,0
06-1,G.I. PIPE,0
06-2,UPVC PIPE,0
06-3,BLACK PIPE,0
06-4,PVC PIPE,0
06-5,HDPE PIPE,0
06-9,"CHROME, STEEL, COPPER TUBE",0
07-1,BRICK,0
08-8,INSULATION,0
08-9,YH LAMINATED PRODUCTS,0
09-1,PRIMAFLEX SHEET,0
09-2,GYPSUM BOARD,0
09-3,M.S PLAIN PLATE,0
09-4,WOOD,0
09-5,PLYWOOD,0
10-0,"BOLT & NUT - UNC,S/STEEL,BRASS & OTHERS",1
10-1,BOLT & NUT,1
10-2,"STUD BOLT - MS, ZP, S/S 304",1
10-3,"NUTS, BOLT & ZP BOLT & NUT",1
10-4,"WASHER-MS,S/S,BRASS,HDG,FIBRE & SPRING",1
11-0,POINTED SCREW,1
11-1,SELF DRILLING SCREW,1
11-2,SCREW - BSW SOCKET & CSK MACHINE,1
12-1,"NAIL - COIL, ROOFING & OTHER",1
12-2,JAGUAR IRON NAIL,1
12-3,CONCRETE NAIL,1
13-1,RAW & WALL PLUG,1
15-1,LAZOR BOLTS & FASTENERS,1
17-1,"ALUMINIUM RIVET - PATTA, OTHERS",1
20-1,MECHANIC TOOLS,2
20-2,"ELORA, SOUTHEN GRACE, WING POH, WYNN'S",2
20-3,TEKIRO PRODUCTS,2
20-4,HELLO PRODUCTS,2
21-1,HOLDING TOOLS,2
21-2,"NIPPLE, GREASE GUN, OIL CAN",2
21-3,PACKING TOOL & TOOL BOX,2
22-1,STRIKING & STRUCK TOOLS,2
22-2,LETTER BOX & NUMBERING,2
23-1,"BOLT CUTTER, FILE, KNIFE",2
23-2,"GRINDING DISC, CUTTING WHEELS, DRILL BIT",2
23-3,AKODA PRODUCTS,2
24-1,MEASURING TAPE & MARKING TOOLS,2
25-1,PAINTING TOOLS,2
25-2,LAZOR PAINTING TOOLS,2
26-1,GARDEN TOOLS - SHOVEL & HOES,2
28-1,IRWIN & LENOX ACCESSORIES,2
28-2,IRWIN HAND TOOLS,2
28-D,IRWIN & LENOX DISCONTINUE,2
29-1,STANLEY HAND TOOLS,2
29-2,STANLEY MECHANIC TOOLS,2
29-3,STANLEY AUTOCARE,2
29-D,STANLEY DISCONTINUE,2
30-1,IKEA PRODUCTS,3
30-3,L.F HOUSEHOLD PRODUCTS,3
31-3,STATIONERY,3
32-1,"HOOK,C PIN,SHELF & L BRACKET & SIMILARTY",3
32-2,CURTAIN ACCESORIES,3
32-3,LAZOR GENERAL TOOLS,3
33-1,YKTF PRODUCTS,3
34-1,HOSE,3
34-2,HOSE ACCESORIES,3
34-3,HOSE CLIP,3
34-4,FLEXIBLE HOSE,3
35-1,CLEANING TOOLS,3
36-1,LADDER,3
36-2,LADDER PRODUCTION,3
36-3,LAZOR LADDER,3
36-4,ASTERI LADDER,3
37-1,RACK,3
38-1,WHEELS,3
38-2,WHEEL BARROW & TROLLEY,3
38-3,RUBBER MOUNTING,3
39-0,SIKA,3
39-1,HARDEX,3
39-2,SCP,3
39-3,DEVON,3
39-4,SELLEYS,3
39-5,WD-40,3
39-6,REXCO,3
39-7,DAVCO,3
39-8,KOYA PRODUCTS,3
39-9,MIX,3
3A-1,"TRANSP, J.I.T, SERV, DIS, UNDERBILL",3
3A-2,OFFER ITEM,3
3A-5,A5 J.I.T GENERAL GOODS,3
40-1,MISCELLANEOUS / MIXED,4
40-2,V-BELT & PULLEYS,4
40-3,WALRUS PRODUCTS,4
41-1,"GASKET, RUBBER SHEET & SIMILARTY",4
41-2,PLASTIC SHEETS,4
42-1,WELDING ROD & ACCESPRIES,4
42-2,HARRY PRODUCTS,4
43-1,BEARING,4
44-1,SCAFFOLDING & ACCESSORIES,4
45-1,"LOUVRES, DOORS & ACCESSORIES",4
46-1,SAND PAPER,4
48-1,HINGES,4
48-2,TOWER BOLTS,4
48-3,HANDLE,4
49-1,"JACK, CHAIN BLK & ACCESSORIES",4
49-2,ROPE & CHAIN,4
51-1,SAFETY SHOES,5
52-1,SAFETY EQUIPMENTS,5
52-2,3M PRODUCTS,5
52-3,LAZOR HAND GLOVE,5
59-1,ABUS,5
59-2,SOLEX,5
59-3,YALE,5
59-4,TRI-CIRCLE,5
59-5,AMAN / VIRO,5
59-6,BUICK,5
59-7,LAZOR LOCK,5
59-8,MIX LOCKS,5
59-9,STANLEY LOCK,5
59-D,STANLEY PADLOCK DISCONTINUE,5
60,BATTERY,6
60-4,NICRON PRODUCTS,6
60-5,ECOLINK PRODUCTS,6
60-6,LITE ME PRODUCTS,6
60-7,SENCO PRODUCTS,6
61,ELECTRICAL ACCESSORIES,6
63-1,PHILIPS,6
63-D,PHILIPS DISCONTINUE,6
66,KHIND PRODUCT,6
66-1,FABER PRODUCTS,6
70,"WATER TAP & GATE, BALL VALVES",7
70-1,VIP PRODUCT,7
70-2,MILANO PRODUCT,7
71,"TOILET SET, CISTERM, SINK & DRAINAGE",7
72-1,KHE TAP,7
72-2,KHE RACKING,7
72-3,KHE SINK,7
72-4,KHE CERAMIC,7
72-9,KHE ACCESSORIES,7
72-D,KHE DISCONTINUE,7
73,DOCASA SANITARYWARE,7
77-1,PIPE FITTING -G.I,7
77-2,PIPE FITTING - PVC & U-PVC,7
77-3,PIPE FITTING - POLYPIPE,7
77-4,"PIPE FITTING - BRASS, S/STEEL & COPPER",7
80-1,JET MASTER,8
80-2,VACMASTER,8
80-3,KANO & VOMAX PRODUCTS,8
80-4,DONG CHENG PRODUCTS,8
81-1,LAVOR,8
81-8,LAVOR ACCESSORIES,8
81-9,LAVOR SPARE PART,8
82,COMPRESSOR & AIR FITTING,8
83,BOSCH,8
84,AKAIDO PRODUCTS,8
85,HITACHI & CARBON BRUSH,8
87,HIKOKI,8
88,KARCHER,8
89-1,MAKITA DC TOOLS,8
89-2,MAKITA DC TOOLS - OPE,8
89-3,MAKITA DC TOOLS - CLEANER,8
89-4,MAKITA AC TOOLS,8
89-5,MAKITA AC - MT,8
89-8,MAKITA ACCESSORY,8
89-9,MAKITA SPARE PARTS,8
89-IN,MAKITA - TC INACTIVE,8
90,"SPRAY PAINT, SPIRIT & MIX PAINTS",9
91,DULUX PAINT,9
92,KANGAROO PAINT,9
93,COLOURLAND PAINT,9
94,TRANS PAINT,9
,,
,,
,,
,,
,,
